,date,day,shift,coursecode,roomno,rollno,coursename
208,26-04-2025,Saturday,Morning,MA1201,104,2401CE30,Probability Theory and Ordinary Differential Equations
209,26-04-2025,Saturday,Morning,MA1201,104,2401CE31,Probability Theory and Ordinary Differential Equations
210,26-04-2025,Saturday,Morning,MA1201,104,2401CE32,Probability Theory and Ordinary Differential Equations
211,26-04-2025,Saturday,Morning,MA1201,104,2401CE33,Probability Theory and Ordinary Differential Equations
212,26-04-2025,Saturday,Morning,MA1201,104,2401CE34,Probability Theory and Ordinary Differential Equations
213,26-04-2025,Saturday,Morning,MA1201,104,2401CE35,Probability Theory and Ordinary Differential Equations
214,26-04-2025,Saturday,Morning,MA1201,104,2401CE36,Probability Theory and Ordinary Differential Equations
215,26-04-2025,Saturday,Morning,MA1201,104,2401CE37,Probability Theory and Ordinary Differential Equations
216,26-04-2025,Saturday,Morning,MA1201,104,2401CE38,Probability Theory and Ordinary Differential Equations
217,26-04-2025,Saturday,Morning,MA1201,104,2401CE39,Probability Theory and Ordinary Differential Equations
218,26-04-2025,Saturday,Morning,MA1201,104,2401CE40,Probability Theory and Ordinary Differential Equations
219,26-04-2025,Saturday,Morning,MA1201,104,2401CE41,Probability Theory and Ordinary Differential Equations
220,26-04-2025,Saturday,Morning,CS372,105,2201cs89,
221,26-04-2025,Saturday,Morning,CS372,105, 2201CS56,
222,26-04-2025,Saturday,Morning,CS372,105, 2201CS67,
223,26-04-2025,Saturday,Morning,CS372,105,2201CS68,
224,26-04-2025,Saturday,Morning,CS372,105,2201CS69,
225,26-04-2025,Saturday,Morning,CS372,105,2201CS70,
226,26-04-2025,Saturday,Morning,CS372,105,2201CS71,
227,26-04-2025,Saturday,Morning,CS372,105,2201CS72,
228,26-04-2025,Saturday,Morning,CS372,105,2201CS73,
229,26-04-2025,Saturday,Morning,CS372,105,2201CS74,
230,26-04-2025,Saturday,Morning,CS372,105,2201CS75,
231,26-04-2025,Saturday,Morning,CS372,105,2201CS76,
232,26-04-2025,Saturday,Morning,CS372,105,2201CS77,
233,26-04-2025,Saturday,Morning,CS372,105,2201CS78,
234,26-04-2025,Saturday,Morning,CS372,105,2201CS79,
235,26-04-2025,Saturday,Morning,CS372,105,2201CS80,
236,26-04-2025,Saturday,Morning,CS372,105,2201CS81,
237,26-04-2025,Saturday,Morning,CS372,105,2201CS82,
238,26-04-2025,Saturday,Morning,CS372,105,2201CS83,
239,26-04-2025,Saturday,Morning,CS372,105,2201CS84,
240,26-04-2025,Saturday,Morning,CS372,105,2201CS85,
241,26-04-2025,Saturday,Morning,CS372,105,2201CS86,
242,26-04-2025,Saturday,Morning,CS372,105,2201CS87,
243,26-04-2025,Saturday,Morning,CS372,105,2201CS88,
244,26-04-2025,Saturday,Morning,CS372,105,2201CS90,
245,26-04-2025,Saturday,Morning,CS372,105,2201CS91,
246,26-04-2025,Saturday,Morning,CS372,105,2201CS92,
247,26-04-2025,Saturday,Morning,CS372,105,2201CS93,
248,26-04-2025,Saturday,Morning,CS372,105,2201CS94,
249,26-04-2025,Saturday,Morning,CS372,105,2201CS95,
250,26-04-2025,Saturday,Morning,EE309,106,2201EE01,
251,26-04-2025,Saturday,Morning,EE309,106,2201EE02,
252,26-04-2025,Saturday,Morning,EE309,106,2201EE03,
253,26-04-2025,Saturday,Morning,EE309,106,2201EE04,
254,26-04-2025,Saturday,Morning,EE309,106,2201EE05,
255,26-04-2025,Saturday,Morning,EE309,106,2201EE06,
256,26-04-2025,Saturday,Morning,EE309,106,2201EE07,
257,26-04-2025,Saturday,Morning,EE309,106,2201EE08,
258,26-04-2025,Saturday,Morning,EE309,106,2201EE09,
259,26-04-2025,Saturday,Morning,EE309,106,2201EE10,
260,26-04-2025,Saturday,Morning,EE309,106,2201EE11,
261,26-04-2025,Saturday,Morning,EE309,106,2201EE12,
262,26-04-2025,Saturday,Morning,EE309,106,2201EE13,
263,26-04-2025,Saturday,Morning,EE309,106,2201EE14,
264,26-04-2025,Saturday,Morning,EE309,106,2201EE15,
265,26-04-2025,Saturday,Morning,EE309,106,2201EE18,
266,26-04-2025,Saturday,Morning,EE309,106,2201EE20,
267,26-04-2025,Saturday,Morning,EE309,106,2201EE21,
268,26-04-2025,Saturday,Morning,EE309,106,2201EE22,
269,26-04-2025,Saturday,Morning,EE309,106,2201EE23,
270,26-04-2025,Saturday,Morning,EE309,106,2201EE24,
271,26-04-2025,Saturday,Morning,EE309,106,2201EE25,
272,26-04-2025,Saturday,Morning,EE309,106,2201EE26,
273,26-04-2025,Saturday,Morning,EE309,106,2201EE27,
274,26-04-2025,Saturday,Morning,EE309,106,2201EE28,
275,26-04-2025,Saturday,Morning,EE309,106,2201EE29,
276,26-04-2025,Saturday,Morning,EE309,106,2201EE31,
277,26-04-2025,Saturday,Morning,EE309,106,2201EE32,
278,26-04-2025,Saturday,Morning,EE309,106,2201EE33,
279,26-04-2025,Saturday,Morning,EE309,106,2201EE34,
280,26-04-2025,Saturday,Morning,EE309,106,2201EE35,
